pop_loss,city_state
-105170,"Chicago, Illinois"
-99912,"Los Angeles, California"
-82040,"San Francisco, California"
-66856,"Philadelphia, Pennsylvania"
-52886,"San Jose, California"
-30462,"Portland, Oregon"
-28844,"Boston, Massachusetts"
-25474,"New Orleans, Louisiana"
-24990,"St Louis, Missouri"
-23891,"Baltimore, Maryland"
-22115,"Memphis, Tennessee"
-21490,"Long Beach, California"
-21096,"Milwaukee, Wisconsin"
-12564,"Omaha, Nebraska"
-12384,"Jackson, Mississippi"
-12200,"Cleveland, Ohio"
-11908,"Louisville/Jefferson County (balance), Kentucky"
-11852,"Shreveport, Louisiana"
-11846,"Glendale, California"
-11171,"Santa Clarita, California"
-10512,"Indianapolis (balance), Indiana"
