population_2024,city
491.4,Colorado Springs
487.9,Raleigh
480.2,Omaha
460.3,Miami
451.6,Virginia Beach
444.1,Long Beach
435.0,Oakland
423.3,Minneapolis
416.1,Bakersfield
411.3,Tulsa
408.5,Tampa
399.8,Arlington
397.8,Aurora
395.5,Wichita
359.6,Cleveland
357.8,New Orleans
343.4,Henderson
339.6,Honolulu
338.5,Anaheim
325.0,Orlando
320.1,Riverside
319.3,Lexington
319.1,Stockton
316.7,Irvine
316.1,Corpus Christi
311.6,Cincinnati
310.3,Santa Ana
304.3,Greensboro
303.4,Pittsburgh
303.1,Newark
301.4,St. Paul
300.1,Durham
295.8,Lincoln
292.6,North Las Vegas
291.6,Jersey City
291.5,Plano
284.5,Anchorage
282.0,Madison
281.1,Chandler
278.2,Reno
277.5,Gilbert
275.5,St. Louis
273.8,Chula Vista
273.7,Buffalo
271.9,Fort Wayne
269.8,Lubbock
265.0,St. Petersburg
263.6,Toledo
258.3,Laredo
257.8,Port St. Lucie
255.5,Glendale
255.3,Chesapeake
254.0,Winston-Salem
253.6,Irving
245.2,Scottsdale
242.5,Garland
236.3,Enterprise
236.0,Arlington
235.2,Boise
234.1,Cape Coral
232.4,Frisco
230.0,Richmond
229.5,Spokane
228.6,Norfolk
228.6,Huntsville
224.8,Fremont
224.3,San Bernardino
224.0,Tacoma
221.5,Spring Valley
221.2,Santa Clarita
220.9,Hialeah
219.0,Modesto
218.8,McKinney
217.6,Fontana
217.3,Baton Rouge
213.6,Moreno Valley
212.6,Salt Lake City
210.7,Sioux Falls
209.9,Fayetteville
209.2,Des Moines
208.5,Worcester
206.5,Yonkers
206.1,Rochester
204.2,Little Rock
204.1,Grand Prairie
203.7,Tallahassee
203.0,Amarillo
201.0,Peoria
200.5,Augusta-Richmond County (balance)
200.4,Knoxville
200.2,Columbus
198.5,Sunrise Manor
198.2,Vancouver
197.3,Oxnard
196.9,Overland Park
195.9,Grand Rapids
195.4,Birmingham
193.7,Montgomery
191.3,Tempe
191.2,Brownsville
190.8,Providence
190.0,Huntington Beach
189.5,Paradise
188.9,Chattanooga
188.2,Akron
185.1,Clarksville
184.7,Fort Lauderdale
184.7,Ontario
184.1,Glendale
182.1,Newport News
181.8,Cary
181.3,Mobile
179.1,Elk Grove
178.1,Eugene
177.9,Salem
176.7,Aurora
175.1,Santa Rosa
175.0,Shreveport
174.3,Rancho Cucamonga
171.1,Pembroke Pines
170.5,Springfield
170.5,Fort Collins
169.3,Murfreesboro
168.7,Oceanside
167.0,Garden Grove
164.1,Denton
164.0,Lancaster
162.9,Surprise
162.7,Roseville
161.6,Killeen
161.2,Corona
158.9,Palmdale
158.2,Salinas
156.9,Charleston
156.3,Macon-Bibb County
155.9,Lakewood
155.5,Paterson
154.2,Hollywood
153.9,Alexandria
153.3,Hayward
153.1,Springfield
151.8,Kansas City
151.5,Bellevue
150.9,Sunnyvale
150.6,Joliet
150.5,Naperville
149.4,Olathe
148.1,Bridgeport
148.0,McAllen
147.8,Savannah
147.2,Escondido
147.0,Gainesville
146.5,Mesquite
146.2,Waco
146.1,Visalia
145.8,Thornton
145.3,Rockford
145.2,Syracuse
145.2,Pasadena
144.5,Columbia
143.7,Pomona
140.7,Palm Bay
140.6,Jackson
140.3,Victorville
140.2,Midland
139.9,Meridian
139.6,Miramar
139.0,Metairie
138.0,Orange
137.9,Fullerton
137.2,New Haven
137.0,Hampton
136.8,Torrance
136.5,Stamford
135.9,Lewisville
135.8,Warren
135.6,Fargo
135.5,Elizabeth
135.4,Cedar Rapids
135.2,Coral Springs
134.9,Dayton
133.7,Round Rock
133.1,Sterling Heights
132.7,Carrollton
132.6,West Valley City
132.3,Kent
131.9,Pasadena
131.9,Santa Clara
130.7,Norman
130.3,Columbia
130.3,Abilene
129.1,Athens-Clarke County (balance)
128.3,Pearland
127.5,Clovis
126.7,College Station
126.3,West Palm Beach
125.2,Topeka
125.1,Lakeland
125.0,Wilmington
124.7,Simi Valley
124.6,Allentown
124.4,Lehigh Acres
123.4,North Charleston
122.7,Rochester
122.3,Thousand Oaks
122.3,The Woodlands
122.1,Billings
121.8,Vallejo
121.5,Lafayette
121.3,Concord
121.1,Fairfield
120.9,Broken Arrow
120.4,Arvada
120.3,Independence
120.0,Spring Hill
119.6,Hartford
118.6,Nampa
118.2,Cambridge
118.0,Ann Arbor
117.7,Antioch
117.6,High Point
117.4,New Braunfels
117.2,Berkeley
116.9,League City
116.8,Menifee
116.8,Richardson
116.7,Clearwater
116.5,Goodyear
116.0,Odessa
116.0,Las Cruces
115.5,Manchester
115.4,Waterbury
114.7,Evansville
114.3,Westminster
114.2,West Jordan
114.2,Pompano Beach
114.1,Brandon
114.0,Buckeye
113.9,East Los Angeles
113.9,Conroe
113.9,Lowell
113.7,Greeley
113.7,Tuscaloosa
113.6,Allen
113.4,Richmond
113.0,Carlsbad
112.9,Elgin
112.8,Provo
112.7,Rio Rancho
112.1,Murrieta
112.0,Lansing
112.0,Springfield
111.9,Concord
111.8,South Fulton
111.7,Tyler
111.3,Beaumont
111.3,Everett
110.9,Temecula
110.8,Pueblo
110.8,Sparks
110.5,Miami Gardens
110.1,Santa Maria
